participant_code,batch_id,condition,order_index,n,view_duration_ms,readability,stability,immediate_comfort,observed_base_cycle_hz,observed_full_cycle_hz,dropped_frame_rate
P042,july,n4_mask_noise,3,4,10526,5,5,5,59.71680010586909,59.71680010586909,0.004726270185112249
P042,july,deployed_full,4,4,12953,4,3,4,58.44072843200655,46.75258274560524,0.02569727358194923
P042,july,n4_mask_only,5,4,10787,5,5,5,59.74735404574947,59.74735404574947,0.004229142637447136
P043,july,n3_mask_noise,0,3,13846,5,4,2,79.52172134383086,79.52172134383086,0.005980861244019139
P043,july,n4_mask_noise,1,4,10628,4,3,2,59.64963148640051,59.64963148640051,0.005845674201091193
P043,july,n2_mask_noise,2,2,10667,5,5,5,119.67401564500608,119.67401564500608,0.0027258566978193145
P043,july,n4_mask_only,3,4,10645,4,3,3,59.93038224090381,59.93038224090381,0.0011727912431587178
P043,july,control_anchor,4,1,10638,5,5,5,239.99999999999997,239.99999999999997,0
P043,july,deployed_full,5,4,10746,3,1,3,58.17310728754078,46.53848583003263,0.03008649868371568
P044,july,n3_mask_noise,0,3,11616,4,4,4,79.65749277398852,79.65749277398852,0.004284184219921457
P044,july,n4_mask_noise,1,4,10830,5,5,5,59.451916918290785,59.451916918290785,0.009149828440716736
P044,july,n2_mask_noise,2,2,10806,5,5,5,119.58546165335903,119.58546165335903,0.0034575489819439107
P044,july,n4_mask_only,3,4,10565,4,4,4,59.930050099253236,59.930050099253236,0.0011815675462780622
P044,july,control_anchor,4,1,10582,5,5,5,240.00151241599053,240.00151241599053,0
P044,july,deployed_full,5,4,10486,2,2,2,58.01785022773799,46.41428018219039,0.03266717909300538
P045,july,n4_mask_noise,0,4,16215,5,3,4,59.70895526966425,59.70895526966425,0.0048568507157464216
P045,july,n4_mask_only,1,4,10791,4,4,4,59.90821783460699,59.90821783460699,0.0015420200462606013
P045,july,n3_mask_noise,2,3,11035,3,4,4,79.57966077254466,79.57966077254466,0.005257228689447991
P045,july,deployed_full,3,4,10667,3,2,2,57.94170082987179,46.35336066389743,0.033949453036589965
P045,july,n2_mask_noise,4,2,11994,5,5,4,119.75176154466867,119.75176154466867,0.0020797227036395147
P045,july,control_anchor,5,1,10775,5,5,5,240.0007427489127,240.0007427489127,0
P046,july,n4_mask_noise,0,4,13295,2,3,1,59.62702743104867,59.62702743104867,0.006228589224540642
P046,july,n4_mask_only,1,4,14856,3,5,3,59.9327731092437,59.9327731092437,0.0011204481792717086
P046,july,n3_mask_noise,2,3,11018,2,5,3,79.5799861600024,79.5799861600024,0.0052651372696502444
P046,july,deployed_full,3,4,10720,1,1,1,57.92905323258989,46.34324258607191,0.03415915915915916
