participant_code,batch_id,condition,trial_index,condition_repetition,n,requested_n,components,duration_s,accuracy,wpm,cpm,attempted_chars,attempted_letters,correct_chars,correct_letters,total_chars,edit_distance,aligned_target_chars,msd_error_rate,scoring_method,first_key_latency_ms,text_storage_status
P093,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9655172413793104,16.8,84.0,29,24,28,23,219,1,28,0.034482758620689655,msd_target_prefix_v1,759.6000000014901,direct_match
P094,sep10_12,control,0,1,1,1,none,20.0,0.95,22.8,114.0,40,35,38,33,220,2,40,0.05,msd_target_prefix_v1,430.69999999925494,direct_match
P094,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.975609756097561,24.0,120.0,41,35,40,34,220,1,41,0.024390243902439025,msd_target_prefix_v1,365.9000000022352,direct_match
P094,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,23.400000000000002,117.0,39,33,39,33,219,0,39,0.0,msd_target_prefix_v1,263.69999999925494,direct_match
P094,sep10_12,control,3,2,1,1,none,20.0,0.9428571428571428,19.8,99.0,35,30,33,28,219,2,35,0.05714285714285714,msd_target_prefix_v1,284.80000000074506,direct_match
P095,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9428571428571428,19.8,99.0,35,30,33,28,220,2,35,0.05714285714285714,msd_target_prefix_v1,1468.3000000000466,compatible_with_stripped_boundary_spaces
P095,sep10_12,control,1,1,1,1,none,20.0,1.0,19.200000000000003,96.0,32,28,32,28,220,0,32,0.0,msd_target_prefix_v1,1709.4000000000233,direct_match
P095,sep10_12,control,2,2,1,1,none,20.0,1.0,23.400000000000002,117.0,39,33,39,33,220,0,39,0.0,msd_target_prefix_v1,1176.2000000000116,compatible_with_stripped_boundary_spaces
P095,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9722222222222222,21.0,105.0,36,31,35,30,220,1,36,0.027777777777777776,msd_target_prefix_v1,1622.9000000000233,direct_match
P096,sep10_12,control,0,1,1,1,none,20.0,1.0,16.200000000000003,81.0,27,23,27,23,220,0,27,0.0,msd_target_prefix_v1,989.4000000001397,direct_match
P096,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9565217391304348,13.200000000000001,66.0,23,20,22,19,220,1,23,0.043478260869565216,msd_target_prefix_v1,477.9000000001397,direct_match
P096,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,14.4,72.0,24,21,24,21,220,0,24,0.0,msd_target_prefix_v1,349.19999999995343,direct_match
P096,sep10_12,control,3,2,1,1,none,20.0,1.0,16.200000000000003,81.0,27,23,27,23,219,0,27,0.0,msd_target_prefix_v1,350.0,direct_match
P097,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.972972972972973,21.6,108.0,37,32,36,31,220,1,37,0.02702702702702703,msd_target_prefix_v1,692.8999999999069,direct_match
P097,sep10_12,control,1,1,1,1,none,20.0,1.0,21.0,105.0,35,31,35,31,219,0,35,0.0,msd_target_prefix_v1,480.10000000009313,direct_match
P097,sep10_12,control,2,2,1,1,none,20.0,1.0,19.200000000000003,96.0,32,27,32,27,220,0,32,0.0,msd_target_prefix_v1,557.1000000000931,compatible_with_stripped_boundary_spaces
P097,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,19.200000000000003,96.0,32,28,32,28,220,0,32,0.0,msd_target_prefix_v1,533.7000000001863,direct_match
P098,sep10_12,control,0,1,1,1,none,20.0,1.0,22.8,114.0,38,33,38,33,220,0,38,0.0,msd_target_prefix_v1,1213.5,direct_match
P098,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.95,22.8,114.0,40,35,38,33,220,2,40,0.05,msd_target_prefix_v1,855.7999999998137,direct_match
P098,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.95,22.8,114.0,38,32,38,32,220,2,40,0.05,msd_target_prefix_v1,398.89999999990687,compatible_with_stripped_boundary_spaces
P098,sep10_12,control,3,2,1,1,none,20.0,0.9705882352941176,19.8,99.0,34,30,33,29,220,1,34,0.029411764705882353,msd_target_prefix_v1,932.4000000001397,direct_match
P099,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.9705882352941176,19.8,99.0,34,29,33,28,220,1,34,0.029411764705882353,msd_target_prefix_v1,4.899999999906868,direct_match
P099,sep10_12,control,1,1,1,1,none,20.0,0.9583333333333334,27.599999999999998,138.0,48,41,46,39,220,2,48,0.041666666666666664,msd_target_prefix_v1,438.39999999990687,direct_match
P099,sep10_12,control,2,2,1,1,none,20.0,0.96,28.8,144.0,50,43,48,41,219,2,49,0.04,msd_target_prefix_v1,836.2000000001863,direct_match
P099,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9777777777777777,26.400000000000002,132.0,45,39,44,38,219,1,45,0.022222222222222223,msd_target_prefix_v1,227.79999999981374,direct_match
P100,sep10_12,control,0,1,1,1,none,20.0,0.9545454545454546,25.200000000000003,126.0,43,37,42,36,219,2,44,0.045454545454545456,msd_target_prefix_v1,325.79999999981374,direct_match
P100,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,0.975,23.400000000000002,117.0,40,34,39,33,219,1,40,0.025,msd_target_prefix_v1,301.39999999990687,compatible_with_stripped_boundary_spaces
P100,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,28.8,144.0,48,41,48,41,220,0,48,0.0,msd_target_prefix_v1,220.60000000009313,direct_match
P100,sep10_12,control,3,2,1,1,none,20.0,0.9090909090909091,24.599999999999998,123.0,44,38,41,36,220,4,44,0.09090909090909091,msd_target_prefix_v1,222.09999999962747,compatible_with_stripped_boundary_spaces
P101,sep10_12,masked,0,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,22.8,114.0,38,32,38,32,220,0,38,0.0,msd_target_prefix_v1,637.2000000001863,compatible_with_stripped_boundary_spaces
P101,sep10_12,control,1,1,1,1,none,20.0,1.0,16.200000000000003,81.0,27,23,27,23,219,0,27,0.0,msd_target_prefix_v1,815.5,compatible_with_stripped_boundary_spaces
P101,sep10_12,control,2,2,1,1,none,20.0,0.9714285714285714,20.400000000000002,102.0,35,30,34,29,219,1,35,0.02857142857142857,msd_target_prefix_v1,590.0,direct_match
P101,sep10_12,masked,3,2,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,21.0,105.0,35,29,35,29,220,0,35,0.0,msd_target_prefix_v1,453.60000000009313,compatible_with_stripped_boundary_spaces
P102,sep10_12,control,0,1,1,1,none,20.0,0.9863013698630136,43.2,216.0,72,62,72,62,220,1,73,0.0136986301369863,msd_target_prefix_v1,301.10000000009313,compatible_with_stripped_boundary_spaces
P102,sep10_12,masked,1,1,4,4,mask+noise+anti-ocr+inversion,20.0,1.0,46.800000000000004,234.0,78,66,78,66,220,0,78,0.0,msd_target_prefix_v1,311.5,compatible_with_stripped_boundary_spaces
P102,sep10_12,masked,2,2,4,4,mask+noise+anti-ocr+inversion,20.0,0.9857142857142858,41.400000000000006,207.0,70,60,69,59,219,1,70,0.014285714285714285,msd_target_prefix_v1,238.3000000002794,compatible_with_stripped_boundary_spaces
P102,sep10_12,control,3,2,1,1,none,20.0,0.9868421052631579,45.0,225.0,75,64,75,64,220,1,76,0.013157894736842105,msd_target_prefix_v1,430.39999999990687,compatible_with_stripped_boundary_spaces
