participant_code,batch_id,typing_order,control_wpm,control_cpm,control_accuracy,control_attempted_chars,control_first_key_latency_ms,masked_wpm,masked_cpm,masked_accuracy,masked_attempted_chars,masked_first_key_latency_ms,delta_wpm,delta_cpm,delta_accuracy,delta_attempted_chars,delta_first_key_latency_ms
P093,sep10_12,BAAB,21.3,106.5,1.0,35.5,516.8000000007451,18.6,93.0,0.9684729064039409,32,595.75,-2.6999999999999993,-13.5,-0.0315270935960591,-3.5,78.94999999925494
P094,sep10_12,ABBA,21.3,106.5,0.9464285714285714,37.5,357.75,23.700000000000003,118.5,0.9878048780487805,40,314.80000000074506,2.400000000000002,12.0,0.04137630662020908,2.5,-42.94999999925494
P095,sep10_12,BAAB,21.300000000000004,106.5,1.0,35.5,1442.8000000000175,20.4,102.0,0.9575396825396825,35.5,1545.600000000035,-0.9000000000000057,-4.5,-0.04246031746031753,0.0,102.80000000001746
P096,sep10_12,ABBA,16.200000000000003,81.0,1.0,27,669.7000000000698,13.8,69.0,0.9782608695652174,23.5,413.55000000004657,-2.400000000000002,-12.0,-0.021739130434782594,-3.5,-256.1500000000233
P097,sep10_12,BAAB,20.1,100.5,1.0,33.5,518.6000000000931,20.400000000000002,102.0,0.9864864864864865,34.5,613.3000000000466,0.3000000000000007,1.5,-0.013513513513513487,1.0,94.69999999995343
P098,sep10_12,ABBA,21.3,106.5,0.9852941176470589,36,1072.9500000000698,22.8,114.0,0.95,39,627.3499999998603,1.5,7.5,-0.03529411764705892,3,-445.60000000020955
P099,sep10_12,BAAB,28.2,141.0,0.9591666666666667,49,637.3000000000466,23.1,115.5,0.9741830065359477,39.5,116.3499999998603,-5.099999999999998,-25.5,0.01501633986928097,-9.5,-520.9500000001863
P100,sep10_12,ABBA,24.9,124.5,0.9318181818181819,43.5,273.9499999997206,26.1,130.5,0.9875,44,261.0,1.2000000000000028,6.0,0.055681818181818166,0.5,-12.949999999720603
P101,sep10_12,BAAB,18.300000000000004,91.5,0.9857142857142858,31,702.75,21.9,109.5,1.0,36.5,545.4000000001397,3.5999999999999943,18.0,0.014285714285714235,5.5,-157.3499999998603
P102,sep10_12,ABBA,44.1,220.5,0.9865717375630858,73.5,365.75,44.10000000000001,220.5,0.9928571428571429,74,274.9000000001397,7.105427357601002e-15,0.0,0.006285405294057078,0.5,-90.8499999998603
P103,sep10_12,BAAB,18.300000000000004,91.5,0.9848484848484849,30.5,389.44999999995343,16.5,82.5,1.0,27.5,375.69999999995343,-1.8000000000000043,-9.0,0.015151515151515138,-3.0,-13.75
P104,sep10_12,ABBA,35.1,175.5,0.9737891737891738,59.5,382.65000000037253,32.7,163.5,0.9901960784313726,55,379.54999999981374,-2.3999999999999986,-12.0,0.01640690464219874,-4.5,-3.1000000005587935
P105,sep10_12,BAAB,18.900000000000002,94.5,1.0,31.5,1074.4500000001863,15.0,75.0,0.9166666666666667,27.5,606.4499999997206,-3.900000000000002,-19.5,-0.08333333333333326,-4.0,-468.00000000046566
P106,sep10_12,ABBA,28.800000000000004,144.0,0.9350446428571428,49,333.84999999962747,29.700000000000003,148.5,0.9690058479532164,50.5,420.79999999981374,0.8999999999999986,4.5,0.03396120509607359,1.5,86.95000000018626
